Gene ID	source_id	gene_source_id	Gene Name or Symbol	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Liver schizont - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Blood stage - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Hypnozoite - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	
PcyM_0015500	PcyM_0015500-t36_1	PcyM_0015500	N/A	0	15.65	2.87	
PcyM_0015600	PcyM_0015600-t36_1	PcyM_0015600	N/A	0	2.06	1.45	
PcyM_0015700	PcyM_0015700-t36_1	PcyM_0015700	N/A	0	7.05	0	
PcyM_0015800	PcyM_0015800-t36_1	PcyM_0015800	N/A	0	3.43	0	
PcyM_0015900	PcyM_0015900-t36_1	PcyM_0015900	N/A	0	0.15	0	
PcyM_0016000	PcyM_0016000-t36_1	PcyM_0016000	N/A	8.15	50.21	0	
PcyM_0016100	PcyM_0016100-t36_1	PcyM_0016100	N/A	0.05	11.2	0	
PcyM_0016200	PcyM_0016200-t36_1	PcyM_0016200	N/A	0	7.32	0	
PcyM_0016300	PcyM_0016300-t36_1	PcyM_0016300	N/A	0.1	12.47	0	
PcyM_0016400	PcyM_0016400-t36_1	PcyM_0016400	N/A	0	26.03	0	
PcyM_0016450	PcyM_0016450-t36_1	PcyM_0016450	N/A	0	0	0	
PcyM_0016600	PcyM_0016600-t36_1	PcyM_0016600	N/A	0	0	0	
PcyM_0016700	PcyM_0016700-t36_1	PcyM_0016700	N/A	0	1.91	0	
PcyM_0016800	PcyM_0016800-t36_1	PcyM_0016800	N/A	0	0	0	
PcyM_0016900	PcyM_0016900-t36_1	PcyM_0016900	N/A	0	14.54	0	
PcyM_0017000	PcyM_0017000-t36_1	PcyM_0017000	N/A	0	1.25	0	
PcyM_0017100	PcyM_0017100-t36_1	PcyM_0017100	N/A	0	0.52	0	
PcyM_0017200	PcyM_0017200-t36_1	PcyM_0017200	N/A	0	31	0	
PcyM_0017250	PcyM_0017250-t36_1	PcyM_0017250	N/A	0	27.76	4.04	
PcyM_0017300	PcyM_0017300-t36_1	PcyM_0017300	N/A	0	25.97	0	
PcyM_0017400	PcyM_0017400-t36_1	PcyM_0017400	N/A	0	0.76	0	
PcyM_0017500	PcyM_0017500-t36_1	PcyM_0017500	N/A	0	11.72	0	
PcyM_0017600	PcyM_0017600-t36_1	PcyM_0017600	N/A	0	3.01	0	
PcyM_0017650	PcyM_0017650-t36_1	PcyM_0017650	N/A	0	0.12	0	
PcyM_0017700	PcyM_0017700-t36_1	PcyM_0017700	N/A	0	2.64	0	
PcyM_0017800	PcyM_0017800-t36_1	PcyM_0017800	N/A	0	21.92	1.21	
PcyM_0017850	PcyM_0017850-t36_1	PcyM_0017850	N/A	0	2.7	0	
PcyM_0017900	PcyM_0017900-t36_1	PcyM_0017900	N/A	0	3.56	1.36	
PcyM_0018000	PcyM_0018000-t36_1	PcyM_0018000	N/A	0	0.9	0	
PcyM_0018100	PcyM_0018100-t36_1	PcyM_0018100	N/A	0	5.55	0	
PcyM_0018200	PcyM_0018200-t36_1	PcyM_0018200	N/A	0.05	12.53	1.04	
PcyM_0018300	PcyM_0018300-t36_1	PcyM_0018300	N/A	0	11.94	0	
PcyM_0018400	PcyM_0018400-t36_1	PcyM_0018400	N/A	0	36.53	0	
PcyM_0018500	PcyM_0018500-t36_1	PcyM_0018500	N/A	0	33.06	2.22	
PcyM_0018600	PcyM_0018600-t36_1	PcyM_0018600	N/A	0	20.32	0	
