Gene ID	source_id	smru1 - smru1 6 hours - unique (intraerythrocytic cycle)	smru1 - smru1 18 hours - unique (intraerythrocytic cycle)	smru1 - smru1 24 hours - unique (intraerythrocytic cycle)	smru1 - smru1 30 hours - unique (intraerythrocytic cycle)	smru1 - smru1 36 hours - unique (intraerythrocytic cycle)	smru1 - smru1 48 hours - unique (intraerythrocytic cycle)	smru1 - smru1 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 6 hours - unique (intraerythrocytic cycle)	smru2 - smru2 12 hours - unique (intraerythrocytic cycle)	smru2 - smru2 18 hours - unique (intraerythrocytic cycle)	smru2 - smru2 24 hours - unique (intraerythrocytic cycle)	smru2 - smru2 30 hours - unique (intraerythrocytic cycle)	smru2 - smru2 36 hours - unique (intraerythrocytic cycle)	smru2 - smru2 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 48 hours - unique (intraerythrocytic cycle)	
PVP01_0002220	PVP01_0002220.1	0	0	0	0	0	0	0	1.17	0	0	0.65	0	0	0	0	
PVP01_0508800	PVP01_0508800.1	65.68	70.14	67.37	68.99	47.24	30.17	33.69	58.76	67.46	73.65	85.34	69.71	48.81	36.9	43.95	
PVP01_0008700	PVP01_0008700.1	7.25	9.56	22.72	4.53	4.73	20.08	15.08	0.86	1.11	4.03	3.84	1.68	0.9	1.1	3.31	
PVP01_0510400	PVP01_0510400.1	112.5	124.58	122.84	85.73	47.43	72.52	47.39	104.23	128.62	120.59	118.99	55.28	48.59	57.57	70.85	
PVP01_0008740	PVP01_0008740.1	0	0	0	0	0	0	0	0.89	0	0	0	0	0	0	0	
PVP01_0510900	PVP01_0510900.1	32.34	9.91	15.91	19.09	34.91	103.92	75.31	15.48	9.83	11.86	24.28	27.27	41.9	62.47	79.08	
PVP01_0006370	PVP01_0006370.1	0	0.77	0	2.12	0	0.38	0	0	1.17	0.47	0	1.01	0.42	0	0	
PVP01_0511600	PVP01_0511600.1	4.38	6.15	6.82	3.98	4.66	5.54	4.1	6.09	5.88	9.45	5.4	3.04	3.15	4.14	7.16	
PVP01_0006410	PVP01_0006410.1	1.44	0.57	0.95	1.57	0	0.28	0.36	0	0	0	0.5	0	0	0	0.25	
PVP01_0511700	PVP01_0511700.1	214.05	215.32	174.22	249.2	261.04	82.22	140.13	229.05	171.11	164.39	207.82	264.36	183.75	108.97	81.59	
