Gene ID	source_id	Gene Name or Symbol	gene_source_id	sense - salivary gland sporozoites - unique only	Transcriptomic Analysis of Cultured Sporozoites - Sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	Transcriptomic Analysis of Cultured Sporozoites - Cultured sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	
PF3D7_0933700	PF3D7_0933700.1	N/A	PF3D7_0933700	2.05	0.26	19.38	
PF3D7_0933800	PF3D7_0933800.1	N/A	PF3D7_0933800	1.66	0.26	67.16	
PF3D7_0933900	PF3D7_0933900.1	N/A	PF3D7_0933900	2.6	2.03	120.65	
PF3D7_0934000	PF3D7_0934000.1	N/A	PF3D7_0934000	4.23	1.77	31.18	
PF3D7_0934100	PF3D7_0934100.1	XPD	PF3D7_0934100	3.62	1.52	152.57	
PF3D7_0934200	PF3D7_0934200.1	N/A	PF3D7_0934200	1.74	1	9.05	
PF3D7_0934300	PF3D7_0934300.1	N/A	PF3D7_0934300	0	0.83	54.92	
PF3D7_0934400	PF3D7_0934400.1	ApiAP2	PF3D7_0934400	2.28	2.54	75.56	
PF3D7_0934500	PF3D7_0934500.1	N/A	PF3D7_0934500	190.36	145.57	90.34	
PF3D7_0934600	PF3D7_0934600.1	N/A	PF3D7_0934600	369.11	65.9	41.68	
PF3D7_0934700	PF3D7_0934700.1	N/A	PF3D7_0934700	129.98	163.56	63.93	
PF3D7_0934800	PF3D7_0934800.1	PKAc	PF3D7_0934800	13.18	4.6	63.81	
PF3D7_0934900	PF3D7_0934900.1	N/A	PF3D7_0934900	16.37	6.74	117.31	
PF3D7_0935000	PF3D7_0935000.1	SNRPB2	PF3D7_0935000	3.67	0.5	38.42	
PF3D7_0935100	PF3D7_0935100.1	KSH1	PF3D7_0935100	0	0.33	49.11	
PF3D7_0935200	PF3D7_0935200.1	VPS33	PF3D7_0935200	10.14	3.66	109.37	
PF3D7_0935300	PF3D7_0935300.1	N/A	PF3D7_0935300	2.08	1.59	46.01	
PF3D7_0935400	PF3D7_0935400.1	GDV1	PF3D7_0935400	7.11	12.14	191.9	
PF3D7_0935500	PF3D7_0935500.1	GEXP22	PF3D7_0935500	4.31	1.86	85.6	
PF3D7_0935600	PF3D7_0935600.1	GIG	PF3D7_0935600	66.29	61.86	59.21	
PF3D7_0935700	PF3D7_0935700.1	N/A	PF3D7_0935700	1.83	2.1	113.16	
PF3D7_0935800	PF3D7_0935800.1	CLAG9	PF3D7_0935800	1.1	0.63	39.43	
PF3D7_0935900	PF3D7_0935900.1	REX1	PF3D7_0935900	4.92	0.75	182.73	
PF3D7_0936000	PF3D7_0936000.1	REX2	PF3D7_0936000	0	0.51	69.51	
PF3D7_0936100	PF3D7_0936100.1	ETRAMP9	PF3D7_0936100	7.63	0.13	22.01	
PF3D7_0936200	PF3D7_0936200.1	N/A	PF3D7_0936200	2.66	0.13	39.1	
PF3D7_0936300	PF3D7_0936300.1	REX3	PF3D7_0936300	3.73	0.3	177.28	
PF3D7_0936400	PF3D7_0936400.1	REX4	PF3D7_0936400	1.77	0.45	43.66	
PF3D7_0936500	PF3D7_0936500.1	VAP1	PF3D7_0936500	0.49	0.47	37.01	
PF3D7_0936600	PF3D7_0936600.1	GEXP5	PF3D7_0936600	2.39	0.16	43.69	
PF3D7_0936700	PF3D7_0936700.1	N/A	PF3D7_0936700	1.34	0.17	33.12	
PF3D7_0936800	PF3D7_0936800.1	N/A	PF3D7_0936800	1.32	0.7	390.24	
PF3D7_0936900	PF3D7_0936900.1	N/A	PF3D7_0936900	1.04	0.2	81.77	
PF3D7_0937000	PF3D7_0937000.1	N/A	PF3D7_0937000	0	0.14	49.01	
PF3D7_0937100	PF3D7_0937100.1	N/A	PF3D7_0937100	0	0.19	36.79	
PF3D7_0937200	PF3D7_0937200.1	N/A	PF3D7_0937200	1.77	1.29	31.23	
PF3D7_0937300	PF3D7_0937300.1	RIF	PF3D7_0937300	0	0.46	96.49	
PF3D7_0937400	PF3D7_0937400.1	RIF	PF3D7_0937400	0.35	0.54	153.03	
PF3D7_0937500	PF3D7_0937500.1	RIF	PF3D7_0937500	0.68	0.07	32.51	
PF3D7_0937600	PF3D7_0937600.1	VAR	PF3D7_0937600	1.05	0.13	57.35	
PF3D7_0937700	PF3D7_0937700.1	RIF	PF3D7_0937700	1.42	0.4	95.75	
PF3D7_0937800	PF3D7_0937800.1	VAR	PF3D7_0937800	4.18	1.68	164.29	
PF3D7_1000100	PF3D7_1000100.1	VAR	PF3D7_1000100	4.23	0.58	254.94	
PF3D7_1000200	PF3D7_1000200.1	RIF	PF3D7_1000200	0	0.39	40.07	
PF3D7_1000300	PF3D7_1000300.1	RIF	PF3D7_1000300	0	0.28	202.71	
PF3D7_1000400	PF3D7_1000400.1	RIF	PF3D7_1000400	0.34	0.2	70.25	
PF3D7_1000500	PF3D7_1000500.1	RIF	PF3D7_1000500	0	0.2	388.95	
PF3D7_1000600	PF3D7_1000600.1	RIF	PF3D7_1000600	3.09	0.13	77.14	
PF3D7_1000700	PF3D7_1000700.1	N/A	PF3D7_1000700	0	0.17	65.45	
PF3D7_1000800	PF3D7_1000800.1	N/A	PF3D7_1000800	0.86	0.08	172.9	
PF3D7_1000900	PF3D7_1000900.1	N/A	PF3D7_1000900	2.73	0	28.55	
PF3D7_1001000	PF3D7_1001000.1	PfJ13	PF3D7_1001000	1.98	0.21	14.44	
PF3D7_1001100	PF3D7_1001100.1	ACBP1	PF3D7_1001100	10.8	1.58	39.57	
PF3D7_1001100	PF3D7_1001100.2	ACBP1	PF3D7_1001100	10.8	1.58	39.57	
PF3D7_1001200	PF3D7_1001200.1	ACBP2	PF3D7_1001200	0	0	7.77	
PF3D7_1001300	PF3D7_1001300.1	N/A	PF3D7_1001300	0.45	0	16.91	
PF3D7_1001400	PF3D7_1001400.1	XL1	PF3D7_1001400	1.05	0.21	50.49	
PF3D7_1001500	PF3D7_1001500.1	ETRAMP10	PF3D7_1001500	1.17	0	112.24	
PF3D7_1001600	PF3D7_1001600.1	XL2	PF3D7_1001600	3.76	0.67	95.32	
PF3D7_1001700	PF3D7_1001700.1	N/A	PF3D7_1001700	3.62	0.64	51.94	
PF3D7_1001800	PF3D7_1001800.1	N/A	PF3D7_1001800	0.49	0.09	62.89	
PF3D7_1001900	PF3D7_1001900.1	PfJ23	PF3D7_1001900	3.2	0.53	92.46	
PF3D7_1002000	PF3D7_1002000.1	N/A	PF3D7_1002000	0.27	0.05	14.15	
PF3D7_1002100	PF3D7_1002100.1	PTP5	PF3D7_1002100	1.42	0.5	100.23	
PF3D7_1002200	PF3D7_1002200.1	PArt	PF3D7_1002200	1.17	0.27	49.05	
PF3D7_1002300	PF3D7_1002300.1	N/A	PF3D7_1002300	1.05	0.17	16.31	
PF3D7_1002400	PF3D7_1002400.1	TRA2B	PF3D7_1002400	13.96	130.46	237.55	
PF3D7_1002400	PF3D7_1002400.2	TRA2B	PF3D7_1002400	13.96	130.46	237.55	
